,type,Name,year,director,address,lat,lon,borough,complaints.count.freq,Style_Sec,Mat_Prim,Use_Orig,nbhd,imdb,TEL,URL,system
767,Museum,Madame Tussauds Wax Museum,,,234 W. 42nd Street,40.75631816,-73.98870226,,NA,,,,,,(800) 246-8872,http://www.madametussauds.com/NewYork/,NA
768,Museum,Merchant's House Museum,,,29 East Fourth Street,40.72765742,-73.99234605,,NA,,,,,,(212) 777-1089,http://www.merchantshouse.com/,NA
769,Museum,Metropolitan Museum of Art (MET),,,1000 Fifth Avenue,40.77942354,-73.96345111,,NA,,,,,,(212) 535-7710,http://www.metmuseum.org/,NA
770,Museum,Mexican Cultural Institute of New York,,,27 E. 39th St.,40.75078437,-73.97988118,,NA,,,,,,(212) 217-6422,http://www.lavitrina.com/,NA
771,Museum,Morgan Library and Museum,,,225 Madison Avenue,40.74929507,-73.98132149,,NA,,,,,,(212) 685-0008,http://www.themorgan.org/home.asp,NA
772,Museum,Morris-Jumel Mansion,,,65 Jumel Terrace,40.83444768,-73.93857439,,NA,,,,,,(212) 923-8008,http://www.morrisjumel.org/,NA
773,Museum,Mount Vernon Hotel Museum & Garden,,,421 East 61 Street,40.76052578,-73.95971083,,NA,,,,,,(212) 838-6878,http://www.mvhm.org/,NA
774,Museum,Municipal Art Society,,,457 Madison Avenue,40.75824831,-73.97499987,,NA,,,,,,(212) 935-3960,http://mas.org/,NA
775,Museum,Museum for African Art,,,36-01 43rd Avenue,40.74634174,-73.92822391,,NA,,,,,,(718) 784-7700,http://www.africanart.org/,NA
776,Museum,Museum of American Finance,,,48 Wall Street,40.70648459,-74.0091216,,NA,,,,,,(212) 908-4110,http://www.moaf.org/index,NA
777,Museum,Museum of American Illustration,,,128 E. 63d St.,40.76471562,-73.96690031,,NA,,,,,,(212) 838-2560,http://societyillustrators.org/museum/index.cms,NA
778,Museum,Museum of Arts & Design (MAD),,,2 Columbus Circle,40.76740607,-73.98200725,,NA,,,,,,(212) 299-7777,http://www.madmuseum.org/,NA
779,Museum,Museum of Biblical Art,,,1865 Broadway,40.77025241,-73.98272584,,NA,,,,,,(212) 408-1200,http://www.mobia.org/,NA
780,Museum,Museum Of Chinese In America,,,215 Centre Street,40.71945395,-73.99919192,,NA,,,,,,(212) 619-4785,http://www.mocanyc.org/,NA
781,Museum,Museum of Comic and Cartoon Art (MoCCA),,,594 Broadway,40.72479795,-73.99670248,,NA,,,,,,(212) 254 3511,http://www.moccany.org/,NA
782,Museum,Museum of Contemporary African Diasporan Arts (MoCADA),,,80 Hanson Place,40.68524514,-73.97442478,,NA,,,,,,(718) 230-0492,http://www.mocada.org/,NA
783,Museum,Museum of Jewish Heritage,,,36 Battery Place,40.70598665,-74.01858572,,NA,,,,,,(646) 437-4200,http://www.mjhnyc.org/index.htm,NA
784,Museum,Museum of Modern Art (MoMA),,,11 West 53rd Street,40.76118664,-73.97700363,,NA,,,,,,(212) 708-9400,http://www.moma.org/,NA
785,Museum,Museum of the City of New York,,,1220 Fifth Avenue,40.79250903,-73.95191697,,NA,,,,,,(212) 534-1672,http://www.mcny.org,NA
786,Museum,Museum of the Moving Image,,,35 Avenue at 36 Street,40.75694449,-73.92451017,,NA,,,,,,(718) 784-4520,http://www.movingimage.us/site/site.php,NA
787,Museum,National Academy Museum,,,1083 5th Avenue,40.78361317,-73.95849177,,NA,,,,,,(212) 369-4880,https://nationalacademy.org/index.asp,NA
788,Museum,National Lighthouse Museum,,,1 Lighthouse Plaza,40.64094902,-74.07373713,,NA,,,,,,(718) 556-1681,http://statenislandusa.com/pages/lighthouse.html,NA
789,Museum,National Museum of the American Indian,,,1 Bowling Green,40.70432126,-74.01372705,,NA,,,,,,(212) 514-3700,http://www.nmai.si.edu/,NA
790,Museum,National September 11 Memorial & Museum at the World Trade Center,,,1 Liberty Plaza,40.70965449,-74.01091566,,NA,,,,,,(212) 227-7722,http://www.911memorial.org/,NA
791,Museum,Neue Galerie New York,,,1048 Fifth Avenue,40.78124234,-73.96024813,,NA,,,,,,(212) 628-6200,http://www.neuegalerie.org/,NA
792,Museum,New Museum of Contemporary Art,,,235 Bowery,40.7223467,-73.99283879,,NA,,,,,,(212) 219-1222,http://www.newmuseum.org/,NA
793,Museum,New York City Fire Museum,,,278 Spring Street,40.72557181,-74.00693426,,NA,,,,,,(212) 691-1303,http://www.nycfiremuseum.org/,NA
794,Museum,New York City Police Museum,,,100 Old Slip,40.70347829,-74.00811754,,NA,,,,,,(212) 480-3100,http://www.nycpolicemuseum.org/,NA
795,Museum,New York Hall of Science,,,47-01 111th Street,40.74714779,-73.8516868,,NA,,,,,,(718) 699-0005,http://www.nysci.org/,NA
796,Museum,New York Historical Society,,,2 West 77th Street,40.77927324,-73.97425754,,NA,,,,,,(212) 873-3400,https://www.nyhistory.org/web/,NA
797,Museum,New York Tolerance Center,,,50 E 42nd St,40.75242292,-73.97912411,,NA,,,,,,(212) 697-1180,http://www.kintera.org/site/pp.asp?c=fwLYKnN8LzH&b=242506,NA
798,Museum,New York Transit Museum,,,Boerum Pl. & Schermenhorn Street,40.6905237,-73.99002597,,NA,,,,,,(718) 694-4915,http://www.mta.info/mta/museum/,NA
799,Museum,Nicholas Roerich Museum,,,319 West 107 Street,40.802914,-73.9690225,,NA,,,,,,(212) 864-7752,http://www.roerich.org/,NA
800,Museum,Noble Maritime Collection,,,1000 Richmond Terrace,40.64431194,-74.10177204,,NA,,,,,,(718) 447-6490,http://www.noblemaritime.org/,NA
801,Museum,Old Stone House,,,326 5th Avenue,40.67299347,-73.98461861,,NA,,,,,,(718) 768-3195,http://www.theoldstonehouse.org/,NA
802,Museum,P.S. 1 Contemporary Art Center,,,22-25 Jackson Ave.,40.74583947,-73.94621242,,NA,,,,,,(718) 784-2084,http://www.ps1.org/,NA
803,Museum,Paley Center For Media (formerly Museum Of Television & Radio),,,25 West 52 Street,40.76057364,-73.97760161,,NA,,,,,,(212) 621-6800,http://www.paleycenter.org/,NA
804,Museum,Queens Art Museum - Bulova Corporate Center,,,75-20 Astoria Blvd.,40.76460726,-73.89314846,,NA,,,,,,(516) 624-1910,http://www.bdg.net/properties/1/,NA
805,Museum,Queens County Farm Museum,,,73-50 Little Neck Parkway,40.7455696,-73.72573661,,NA,,,,,,(718) 347-3276,http://www.queensfarm.org/,NA
806,Museum,Queens Museum of Art,,,Queens Museum of Art,40.74584286,-73.84676276,,NA,,,,,,(718) 592-9700,http://www.queensmuseum.org/,NA
807,Museum,Rose Center for Earth and Space (Hayden Planetarium),,,15 West 81st Street,40.78285983,-73.97257491,,NA,,,,,,(212) 769-5100,http://www.haydenplanetarium.org/index.php,NA
808,Museum,Rose Museum at Carnegie Hall,,,154 West 57th Street,40.76501231,-73.9799105,,NA,,,,,,(212) 903-9629,http://www.carnegiehall.org/textSite/the_basics/art_museum_archives.html,NA
809,Museum,Rubin Museum of Art,,,150 West 17th Street,40.74002038,-73.99779153,,NA,,,,,,(212) 620-5000,http://www.rmanyc.org/,NA
